Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC8,3,2.485,0.998,0.36,0.598,0.61,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC9,5,2.244,1.134,0.32,0.554,0.566,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC12,2,1.317,0.405,0.28,0.241,0.246,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC1,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC2,3,2.49,0.977,0.32,0.598,0.611,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC3,3,1.63,0.686,0.4,0.386,0.394,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC4,6,4.098,1.556,0.4,0.756,0.771,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC7,4,2.341,1.05,0.32,0.573,0.584,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC8,3,1.568,0.656,0.04,0.362,0.37,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC9,3,2.08,0.777,0.4,0.519,0.53,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC12,2,1.814,0.641,0.36,0.449,0.458,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC1,4,2.399,0.993,0.6,0.583,0.595,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC2,4,1.387,0.557,0.28,0.279,0.285,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC3,3,1.177,0.334,0.16,0.15,0.153,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC4,4,2.193,1.035,0.36,0.544,0.555,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC7,5,2.515,1.173,0.6,0.602,0.615,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC8,4,2.907,1.186,0.24,0.656,0.669,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC9,6,3.415,1.485,0.36,0.707,0.722,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse4,AC12,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC1,4,1.791,0.756,0.16,0.442,0.451,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC2,2,1.574,0.551,0.24,0.365,0.372,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC3,2,1.083,0.168,0.08,0.077,0.078,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC4,5,3.472,1.352,0.2,0.712,0.727,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC7,5,3.698,1.436,0.76,0.73,0.744,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC8,5,2.969,1.228,0.32,0.663,0.677,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC9,5,2.51,1.165,0.52,0.602,0.614,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse5,AC12,2,1.771,0.627,0.4,0.435,0.444,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC1,2,1.471,0.5,0.24,0.32,0.327,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC2,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC3,3,1.452,0.595,0.36,0.311,0.318,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC4,5,2.551,1.193,0.32,0.608,0.62,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC7,4,2.665,1.153,0.68,0.625,0.638,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC8,5,3.602,1.391,0.36,0.722,0.737,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC9,7,2.026,1.098,0.32,0.506,0.517,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse6,AC12,2,1.814,0.641,0.36,0.449,0.458,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC1,4,2.567,1.053,0.6,0.61,0.623,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC2,2,1.127,0.227,0.12,0.113,0.115,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC3,2,1.471,0.5,0.24,0.32,0.327,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC4,6,4.921,1.648,0.24,0.797,0.813,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC7,5,2.9,1.236,0.52,0.655,0.669,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC8,5,3.666,1.446,0.12,0.727,0.742,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC9,5,2.556,1.21,0.52,0.609,0.621,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse7,AC12,2,1.268,0.367,0,0.211,0.216,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC1,3,1.176,0.324,0.16,0.15,0.153,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse8,AC2,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
